=== WYNIKI TRENINGU ===


=== REP 0 ===
avg_pos_score 0.950433075428009, avg_neg_score 0.05068330094218254
avg_pos_score 0.9138241410255432, avg_neg_score 0.03376409038901329
avg_pos_score 0.9522339105606079, avg_neg_score 0.049544110894203186
avg_pos_score 0.9701887965202332, avg_neg_score 0.06428265571594238
avg_pos_score 0.9593092203140259, avg_neg_score 0.052433475852012634
avg_pos_score 0.9310641288757324, avg_neg_score 0.03748941421508789
avg_pos_score 0.9489708542823792, avg_neg_score 0.04444291070103645
avg_pos_score 0.9665247201919556, avg_neg_score 0.057572171092033386
avg_pos_score 0.9604896306991577, avg_neg_score 0.05025124177336693
avg_pos_score 0.9393540024757385, avg_neg_score 0.03635713458061218
avg_pos_score 0.9498511552810669, avg_neg_score 0.040323588997125626
avg_pos_score 0.9676306843757629, avg_neg_score 0.051496539264917374
avg_pos_score 0.9628835320472717, avg_neg_score 0.0475640669465065
avg_pos_score 0.9444329142570496, avg_neg_score 0.03682553768157959
avg_pos_score 0.9599643349647522, avg_neg_score 0.0426117368042469
avg_pos_score 0.9660195112228394, avg_neg_score 0.04662909731268883
avg_pos_score 0.9549933671951294, avg_neg_score 0.037381116300821304
avg_pos_score 0.9553511142730713, avg_neg_score 0.03619109466671944
avg_pos_score 0.9681183099746704, avg_neg_score 0.04419399052858353
avg_pos_score 0.9614903330802917, avg_neg_score 0.039303239434957504
avg_pos_score 0.9551385641098022, avg_neg_score 0.03443942591547966
avg_pos_score 0.9699963331222534, avg_neg_score 0.04206454008817673
avg_pos_score 0.962541937828064, avg_neg_score 0.035467784851789474
avg_pos_score 0.9586504697799683, avg_neg_score 0.03282730281352997
avg_pos_score 0.9716756939888, avg_neg_score 0.0407877154648304
avg_pos_score 0.9587048292160034, avg_neg_score 0.03210292384028435
avg_pos_score 0.9687060117721558, avg_neg_score 0.03652563691139221
avg_pos_score 0.9669374227523804, avg_neg_score 0.03402411565184593
